dataset_role,source,normalization_mode,threshold,session,detected_observations,stable_inlier_observations,stable_inlier_accepted,stable_inlier_acceptance_rate,outlier_observations,outlier_rejected,outlier_rejection_rate,partial_observations,partial_rejected,partial_rejection_rate,accepted_outliers,max_abs_vz_mps,p99_abs_vz_mps,occlusion_events,events_track_expired,events_reacquired,mean_reacquisition_delay_frames,max_reacquisition_delay_frames,decision
development,Experimental_results/2026-08-11_observation_replay.csv,forward_z,1800.0,shield_z0.8m,210,176,175,0.9943181818181818,1,1,1.0,19,5,0.2631578947368421,0,0.11993655562400818,0.10443025439977642,2,2,2,3.5,4,PASS
development,Experimental_results/2026-08-11_observation_replay.csv,forward_z,2000.0,shield_z0.8m,210,176,175,0.9943181818181818,1,1,1.0,19,6,0.3157894736842105,0,0.14138232171535492,0.1143975362181664,2,2,2,4.0,4,PASS
development,Experimental_results/2026-08-11_observation_replay.csv,forward_z,2503.678448310634,shield_z0.8m,210,176,175,0.9943181818181818,1,1,1.0,19,10,0.5263157894736842,0,0.15779678523540497,0.14245443403720875,2,2,2,5.0,5,PASS
development,Experimental_results/2026-08-11_observation_replay.csv,calibrated_ground_distance,1800.0,shield_z0.8m,210,176,175,0.9943181818181818,1,1,1.0,19,5,0.2631578947368421,0,0.11993655562400818,0.10443025439977642,2,2,2,3.5,4,PASS
development,Experimental_results/2026-08-11_observation_replay.csv,calibrated_ground_distance,2000.0,shield_z0.8m,210,176,175,0.9943181818181818,1,1,1.0,19,6,0.3157894736842105,0,0.14138232171535492,0.1143975362181664,2,2,2,4.0,4,PASS
development,Experimental_results/2026-08-11_observation_replay.csv,calibrated_ground_distance,2503.678448310634,shield_z0.8m,210,176,175,0.9943181818181818,1,1,1.0,19,10,0.5263157894736842,0,0.15779678523540497,0.14245443403720875,2,2,2,5.0,5,PASS
development,Experimental_results/2026-08-11_observation_replay.csv,raw_ground_distance,1800.0,shield_z0.8m,210,176,175,0.9943181818181818,1,1,1.0,19,5,0.2631578947368421,0,0.11993655562400818,0.10443025439977642,2,2,2,3.5,4,PASS
development,Experimental_results/2026-08-11_observation_replay.csv,raw_ground_distance,2000.0,shield_z0.8m,210,176,175,0.9943181818181818,1,1,1.0,19,6,0.3157894736842105,0,0.14138232171535492,0.1143975362181664,2,2,2,4.0,4,PASS
development,Experimental_results/2026-08-11_observation_replay.csv,raw_ground_distance,2503.678448310634,shield_z0.8m,210,176,175,0.9943181818181818,1,1,1.0,19,10,0.5263157894736842,0,0.15779678523540497,0.14245443403720875,2,2,2,5.0,5,PASS
development,Experimental_results/2026-08-11_observation_replay.csv,forward_z,1800.0,shield_z1.0m,166,138,137,0.9927536231884058,1,1,1.0,17,3,0.17647058823529413,0,0.20865213871002197,0.1802364706993105,2,2,2,3.5,4,PASS
development,Experimental_results/2026-08-11_observation_replay.csv,forward_z,2000.0,shield_z1.0m,166,138,137,0.9927536231884058,1,1,1.0,17,4,0.23529411764705882,0,0.20865213871002197,0.18042255580425268,2,2,2,3.5,4,PASS
development,Experimental_results/2026-08-11_observation_replay.csv,forward_z,2503.678448310634,shield_z1.0m,166,138,137,0.9927536231884058,1,1,1.0,17,5,0.29411764705882354,0,0.20865213871002197,0.1764748850464824,2,2,2,4.0,4,PASS
development,Experimental_results/2026-08-11_observation_replay.csv,calibrated_ground_distance,1800.0,shield_z1.0m,166,138,137,0.9927536231884058,1,1,1.0,17,3,0.17647058823529413,0,0.20865213871002197,0.1802364706993105,2,2,2,3.5,4,PASS
development,Experimental_results/2026-08-11_observation_replay.csv,calibrated_ground_distance,2000.0,shield_z1.0m,166,138,137,0.9927536231884058,1,1,1.0,17,4,0.23529411764705882,0,0.20865213871002197,0.18042255580425268,2,2,2,3.5,4,PASS
development,Experimental_results/2026-08-11_observation_replay.csv,calibrated_ground_distance,2503.678448310634,shield_z1.0m,166,138,137,0.9927536231884058,1,1,1.0,17,5,0.29411764705882354,0,0.20865213871002197,0.1764748850464824,2,2,2,4.0,4,PASS
development,Experimental_results/2026-08-11_observation_replay.csv,raw_ground_distance,1800.0,shield_z1.0m,166,138,137,0.9927536231884058,1,1,1.0,17,3,0.17647058823529413,0,0.20865213871002197,0.1802364706993105,2,2,2,3.5,4,PASS
development,Experimental_results/2026-08-11_observation_replay.csv,raw_ground_distance,2000.0,shield_z1.0m,166,138,137,0.9927536231884058,1,1,1.0,17,4,0.23529411764705882,0,0.20865213871002197,0.18042255580425268,2,2,2,3.5,4,PASS
development,Experimental_results/2026-08-11_observation_replay.csv,raw_ground_distance,2503.678448310634,shield_z1.0m,166,138,137,0.9927536231884058,1,1,1.0,17,5,0.29411764705882354,0,0.20865213871002197,0.1764748850464824,2,2,2,4.0,4,PASS
development,Experimental_results/2026-08-11_observation_replay.csv,forward_z,1800.0,shield_z1.3m,120,58,57,0.9827586206896551,23,23,1.0,17,8,0.47058823529411764,0,0.21154701709747314,0.07012779116630552,2,2,2,3.0,3,PASS
development,Experimental_results/2026-08-11_observation_replay.csv,forward_z,2000.0,shield_z1.3m,120,58,57,0.9827586206896551,23,23,1.0,17,8,0.47058823529411764,0,0.21154701709747314,0.07012779116630552,2,2,2,3.0,3,PASS
development,Experimental_results/2026-08-11_observation_replay.csv,forward_z,2503.678448310634,shield_z1.3m,120,58,57,0.9827586206896551,23,23,1.0,17,8,0.47058823529411764,0,0.21154701709747314,0.07012779116630552,2,2,2,3.0,3,PASS
development,Experimental_results/2026-08-11_observation_replay.csv,calibrated_ground_distance,1800.0,shield_z1.3m,120,58,57,0.9827586206896551,23,23,1.0,17,8,0.47058823529411764,0,0.21154701709747314,0.07012779116630552,2,2,2,3.0,3,PASS
development,Experimental_results/2026-08-11_observation_replay.csv,calibrated_ground_distance,2000.0,shield_z1.3m,120,58,57,0.9827586206896551,23,23,1.0,17,8,0.47058823529411764,0,0.21154701709747314,0.07012779116630552,2,2,2,3.0,3,PASS
development,Experimental_results/2026-08-11_observation_replay.csv,calibrated_ground_distance,2503.678448310634,shield_z1.3m,120,58,57,0.9827586206896551,23,23,1.0,17,8,0.47058823529411764,0,0.21154701709747314,0.07012779116630552,2,2,2,3.0,3,PASS
development,Experimental_results/2026-08-11_observation_replay.csv,raw_ground_distance,1800.0,shield_z1.3m,120,58,57,0.9827586206896551,23,23,1.0,17,8,0.47058823529411764,0,0.21154701709747314,0.07012779116630552,2,2,2,3.0,3,PASS
